book_name,book_price,book_available
A Light in the Attic,£51.77,In stock (22 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock (19 available)
Tipping the Velvet,£53.74,In stock (20 available)
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock (19 available)
Sapiens: A Brief History of Humankind,£54.23,In stock (20 available)
The Requiem Red,£22.65,In stock (19 available)
Sharp Objects,£47.82,In stock (20 available)
Soumission,£50.10,In stock (20 available)
The Black Maria,£52.15,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock (19 available)
Set Me Free,£17.46,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock (19 available)
Rip it Up and Start Again,£35.02,In stock (19 available)
Libertarianism for Beginners,£51.33,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock (19 available)
Olio,£23.88,In stock (19 available)
Shakespeare's Sonnets,£20.66,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock (19 available)
It's Only the Himalayas,£45.17,In stock (19 available)
